Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Устин Буров Ярославович, Дата Рождения: 1979-06-21, Место рождения Минусинск, Номер паспорта: 4305015
Имя: Болеслав Савельев Максимович, Дата Рождения: 1998-03-26, Место рождения Салават, Номер паспорта: 2105065
Имя: Юлиан Тимошенко Сергеевич, Дата Рождения: 1991-12-19, Место рождения Сургут, Номер паспорта: 4408066
Имя: Руслан Лаврентьев Виталиевич, Дата Рождения: 1981-06-04, Место рождения Тюмень, Номер паспорта: 3607053
Имя: Денис Пилипейко Артёмович, Дата Рождения: 1997-11-12, Место рождения Черногорск, Номер паспорта: 3607053
Имя: Харитон Коровяк Борисович, Дата Рождения: 1997-06-04, Место рождения Рудный, Номер паспорта: 4408066
Имя: Лука Горшков Брониславович, Дата Рождения: 1981-02-03, Место рождения Очёр, Номер паспорта: 5902028
Имя: Иннокентий Козлов Львович, Дата Рождения: 1988-09-26, Место рождения Павлодар, Номер паспорта: 6801038
Имя: Шерлок Горбунов Михайлович, Дата Рождения: 1998-03-26, Место рождения Мирный, Номер паспорта: 2010011
Имя: Эдуард Горшков Евгеньевич, Дата Рождения: 1976-09-11, Место рождения Озёрск, Номер паспорта: 8505054
Имя: Роман Буров Ярославович, Дата Рождения: 1987-10-03, Место рождения Радужный, Номер паспорта: 6402031
Имя: Георгий Буров Евгеньевич, Дата Рождения: 1985-12-21, Место рождения Миасс, Номер паспорта: 6402031
Имя: Геннадий Мухин Максимович, Дата Рождения: 1992-03-07, Место рождения Рубцовск, Номер паспорта: 1506060
Имя: Жерар Горшков Ярославович, Дата Рождения: 1986-07-29, Место рождения Мурманск, Номер паспорта: 2402014
Имя: Родион Андреев Андреевич, Дата Рождения: 1986-07-29, Место рождения Мурманск, Номер паспорта: 3307009
Имя: Никита Саксаганский Львович, Дата Рождения: 1980-05-01, Место рождения Урай, Номер паспорта: 9311044
Имя: Болеслав Моисеенко Иванович, Дата Рождения: 1995-08-08, Место рождения Байконур, Номер паспорта: 4309066
Имя: Чеслав Зайцев Валериевич, Дата Рождения: 1980-11-11, Место рождения Можайск, Номер паспорта: 4203049
Имя: Цефас Гаврилов Брониславович, Дата Рождения: 1983-05-11, Место рождения Миасс, Номер паспорта: 7008041
Имя: Тимофей Потапов Александрович, Дата Рождения: 1976-09-11, Место рождения Махачкала, Номер паспорта: 5902028
Имя: Дан Горшков Брониславович, Дата Рождения: 1982-07-24, Место рождения Ликино-Дулёво, Номер паспорта: 4203049
Имя: Сергей Яворивский Анатолиевич, Дата Рождения: 1986-12-19, Место рождения Тотьма, Номер паспорта: 4203049
Имя: Святослав Беляев Иванович, Дата Рождения: 1995-06-06, Место рождения Мосолово, Номер паспорта: 4401058
Имя: Прохор Коцюбинский Михайлович, Дата Рождения: 1978-05-18, Место рождения Ухта, Номер паспорта: 6402031
Имя: Болеслав Коцюбинский Иванович, Дата Рождения: 1981-01-30, Место рождения Октябрьский, Номер паспорта: 1401067
Имя: Спартак Дмитриев Данилович, Дата Рождения: 1981-01-30, Место рождения Махачкала, Номер паспорта: 4203049
Имя: Милан Костин Данилович, Дата Рождения: 1995-06-06, Место рождения Озёрск, Номер паспорта: 4604015
Имя: Филипп Субботин Артёмович, Дата Рождения: 1975-11-12, Место рождения Пинск, Номер паспорта: 0909067
Имя: Спартак Беляев Васильевич, Дата Рождения: 1989-01-02, Место рождения Карабалык, Номер паспорта: 4604015
Имя: Феликс Семёнов Эдуардович, Дата Рождения: 1975-10-17, Место рождения Брест, Номер паспорта: 3607053
Имя: Ефрем Хижняк Сергеевич, Дата Рождения: 1993-06-01, Место рождения Прокопьевск, Номер паспорта: 3607053
Имя: Ленар Смирнов Платонович, Дата Рождения: 1993-05-05, Место рождения Сарыагач, Номер паспорта: 9005020
Имя: Геннадий Моисеев Богданович, Дата Рождения: 1981-01-30, Место рождения Семипалатинск, Номер паспорта: 9311044
Имя: Жерар Карпенко-Карый Юхимович, Дата Рождения: 1981-02-03, Место рождения Тольятти, Номер паспорта: 2402014
Имя: Святослав Ерёменко Юхимович, Дата Рождения: 1995-06-17, Место рождения Осиповичи, Номер паспорта: 6801038
Имя: Евстахий Карпенко-Карый Сергеевич, Дата Рождения: 1983-05-28, Место рождения Риддер, Номер паспорта: 9005020
Имя: Герасим Соколов Леонидович, Дата Рождения: 1988-08-26, Место рождения Самара, Номер паспорта: 1506060
Имя: Иннокентий Кириленко Богданович, Дата Рождения: 1984-10-29, Место рождения Чистополь, Номер паспорта: 2811056
Имя: Святослав Горшков Анатолиевич, Дата Рождения: 1984-10-29, Место рождения Талдом, Номер паспорта: 2811056
Имя: Святослав Силин Валериевич, Дата Рождения: 1979-06-21, Место рождения Сыктывкар, Номер паспорта: 2105065
Имя: Марк Киселёв Петрович, Дата Рождения: 1979-10-22, Место рождения Тулун, Номер паспорта: 9005020
Имя: Станислав Смирнов Артёмович, Дата Рождения: 1992-01-20, Место рождения Суворов, Номер паспорта: 4702003
Имя: Стефан Легойда Петрович, Дата Рождения: 1975-01-10, Место рождения Черкесск, Номер паспорта: 5900029
Имя: Феликс Горшков Платонович, Дата Рождения: 1996-05-30, Место рождения Надым, Номер паспорта: 2605030
Имя: Прохор Тихонов Брониславович, Дата Рождения: 1986-12-24, Место рождения Пятигорск, Номер паспорта: 6402031
Имя: Феликс Лихачёв Петрович, Дата Рождения: 1992-03-07, Место рождения Джамбул, Номер паспорта: 5907067
Имя: Николай Семёнов Васильевич, Дата Рождения: 1992-01-20, Место рождения Сметаничи, Номер паспорта: 2605030
Имя: Михаил Яковенко Богданович, Дата Рождения: 1980-01-12, Место рождения Покачи, Номер паспорта: 3404067
Имя: Игнат Белов Борисович, Дата Рождения: 1991-02-08, Место рождения Жлобин, Номер паспорта: 6402031
Имя: Юлий Коровяк Сергеевич, Дата Рождения: 1976-12-03, Место рождения Рудный, Номер паспорта: 1204011
Имя: Николай Зайцев Михайлович, Дата Рождения: 1983-06-13, Место рождения Петропавловск, Номер паспорта: 2105065
Имя: Юлий Лихачёв Владимирович, Дата Рождения: 1987-10-03, Место рождения Холмск, Номер паспорта: 8505054
Имя: Болеслав Новиков Петрович, Дата Рождения: 1982-04-05, Место рождения Нальчик, Номер паспорта: 5606049
Имя: Болеслав Лановой Валериевич, Дата Рождения: 1988-09-26, Место рождения Майкоп, Номер паспорта: 3607053
Имя: Яромир Трублаевский Юхимович, Дата Рождения: 1980-11-11, Место рождения Тихорецк, Номер паспорта: 4604015
Имя: Сава Потапов Артёмович, Дата Рождения: 1986-12-19, Место рождения Омск, Номер паспорта: 6402031
Имя: Трофим Кулибаба Сергеевич, Дата Рождения: 1981-06-04, Место рождения Пермь, Номер паспорта: 9005020
Имя: Динар Попов Борисович, Дата Рождения: 1984-02-21, Место рождения Шатура, Номер паспорта: 4203049
Имя: Юлий Сысоев Юхимович, Дата Рождения: 1984-02-21, Место рождения Тюмень, Номер паспорта: 5902028
Имя: Максим Самойлов Васильевич, Дата Рождения: 1996-07-10, Место рождения Джамбул, Номер паспорта: 2010011
Имя: Сергей Андреев Леонидович, Дата Рождения: 1983-05-28, Место рождения Копыль, Номер паспорта: 5907067
Имя: Шерлок Лихачёв Борисович, Дата Рождения: 1995-06-17, Место рождения Ступино, Номер паспорта: 4203049
Имя: Филипп Силин Андреевич, Дата Рождения: 1977-02-02, Место рождения Псков, Номер паспорта: 9508060
Имя: Иосиф Макаров Валериевич, Дата Рождения: 1996-11-13, Место рождения Прокопьевск, Номер паспорта: 2811056
Имя: Филипп Дроздов Михайлович, Дата Рождения: 1977-02-02, Место рождения Степногорск, Номер паспорта: 4305015
Имя: Остап Таранец Михайлович, Дата Рождения: 1988-09-26, Место рождения Мирный, Номер паспорта: 4604015
Имя: Болеслав Белов Романович, Дата Рождения: 1990-03-13, Место рождения Чистополь, Номер паспорта: 3307009
Имя: Святослав Белов Викторович, Дата Рождения: 1997-09-17, Место рождения Сыктывкар, Номер паспорта: 7008041
Имя: Устин Смирнов Борисович, Дата Рождения: 1995-08-08, Место рождения Байконур, Номер паспорта: 2811056
Имя: Устин Коцюбинский Сергеевич, Дата Рождения: 1998-09-21, Место рождения Туринск, Номер паспорта: 2402014
Имя: Алексей Галкин Данилович, Дата Рождения: 1981-01-08, Место рождения Полоцк, Номер паспорта: 4408066
Имя: Матвей Ерёменко Богданович, Дата Рождения: 1987-07-23, Место рождения Джетыгара, Номер паспорта: 3607053
Имя: Геннадий Смирнов Александрович, Дата Рождения: 1982-07-24, Место рождения Туринск, Номер паспорта: 3607053
Имя: Зуфар Симоненко Юхимович, Дата Рождения: 1996-07-10, Место рождения Смоленск, Номер паспорта: 4604015
Имя: Жерар Фокин Артёмович, Дата Рождения: 1975-10-17, Место рождения Талдом, Номер паспорта: 5900029
Имя: Дан Макаров Львович, Дата Рождения: 1980-06-14, Место рождения Чистополь, Номер паспорта: 4401058
Имя: Феликс Тимошенко Романович, Дата Рождения: 1992-01-20, Место рождения Уфа, Номер паспорта: 4305015
Имя: Харитон Карпов Викторович, Дата Рождения: 1989-01-02, Место рождения Лянтор, Номер паспорта: 5606049
Имя: Юлиан Потапов Петрович, Дата Рождения: 1980-11-11, Место рождения Джетыгара, Номер паспорта: 5902028
Имя: Игнатий Красинец Романович, Дата Рождения: 1996-07-10, Место рождения Москва, Номер паспорта: 8505054
Имя: Ленар Легойда Петрович, Дата Рождения: 1980-11-11, Место рождения Кзыл-Орда, Номер паспорта: 2811056
Имя: Роман Андреев Валериевич, Дата Рождения: 1975-10-17, Место рождения Чистополь, Номер паспорта: 2010011
Имя: Трофим Лаврентьев Анатолиевич, Дата Рождения: 1998-08-31, Место рождения Чернушка, Номер паспорта: 9311044
Имя: Ждан Силин Максимович, Дата Рождения: 1993-05-05, Место рождения Джетыгара, Номер паспорта: 3404067
Имя: Гавриил Смирнов Данилович, Дата Рождения: 1981-01-08, Место рождения Лисаковск, Номер паспорта: 4408066
Имя: Глеб Уваров Васильевич, Дата Рождения: 1989-08-31, Место рождения Мозырь, Номер паспорта: 5907067
Имя: Иннокентий Тихонов Романович, Дата Рождения: 1984-10-29, Место рождения Хабаровск, Номер паспорта: 4305015
Имя: Йоган Панфилов Петрович, Дата Рождения: 1996-05-30, Место рождения Ливны, Номер паспорта: 4305015
Имя: Остап Зайцев Артёмович, Дата Рождения: 1989-01-02, Место рождения Снежинск, Номер паспорта: 4604015
Имя: Яромир Лаврентьев Вадимович, Дата Рождения: 1987-10-03, Место рождения Усолье-Сибирское, Номер паспорта: 3607053
Имя: Михаил Дроздов Валериевич, Дата Рождения: 1991-07-20, Место рождения Лазоревское, Номер паспорта: 1204011
Имя: Леонард Дмитриев Григорьевич, Дата Рождения: 1980-03-01, Место рождения Мурманск, Номер паспорта: 3607053
Имя: Остап Савельев Алексеевич, Дата Рождения: 1996-05-30, Место рождения Миасс, Номер паспорта: 7008041
Имя: Цефас Новиков Алексеевич, Дата Рождения: 1994-03-18, Место рождения Лянтор, Номер паспорта: 2105065
Имя: Сергей Самойлов Романович, Дата Рождения: 1996-07-10, Место рождения Тобольск, Номер паспорта: 5606049
Имя: Станислав Коровяк Юхимович, Дата Рождения: 1998-03-26, Место рождения Тверь, Номер паспорта: 5900029
Имя: Марк Блинов Анатолиевич, Дата Рождения: 1979-10-22, Место рождения Кзыл-Орда, Номер паспорта: 9005020
Имя: Михаил Коровяк Михайлович, Дата Рождения: 1991-02-08, Место рождения Томск, Номер паспорта: 1401067
Имя: Шерлок Самойлов Михайлович, Дата Рождения: 1982-12-22, Место рождения Череповец, Номер паспорта: 8504047
Имя: Цицерон Карпов Андреевич, Дата Рождения: 1985-12-20, Место рождения Пинск, Номер паспорта: 5902028
Имя: Герасим Хижняк Владимирович, Дата Рождения: 1981-01-08, Место рождения Пятигорск, Номер паспорта: 1506060
Имя: Цефас Тимошенко Петрович, Дата Рождения: 1990-03-13, Место рождения Сухиничи, Номер паспорта: 8505054
Имя: Ждан Горбунов Михайлович, Дата Рождения: 1993-06-01, Место рождения Муравленко, Номер паспорта: 9105045
Имя: Болеслав Абрамов Эдуардович, Дата Рождения: 1983-05-28, Место рождения Ужур, Номер паспорта: 6310002
Имя: Чеслав Смирнов Артёмович, Дата Рождения: 1995-06-06, Место рождения Стрежевой, Номер паспорта: 6310002
Имя: Игнатий Тимошенко Валериевич, Дата Рождения: 1998-03-26, Место рождения Лесосибирск, Номер паспорта: 4401058
Имя: Геннадий Сысоев Львович, Дата Рождения: 1983-05-11, Место рождения Мядель, Номер паспорта: 4309066
Имя: Филипп Притула Брониславович, Дата Рождения: 1986-07-29, Место рождения Луга, Номер паспорта: 2402014
Имя: Леонид Новиков Дмитриевич, Дата Рождения: 1984-02-21, Место рождения Черкесск, Номер паспорта: 4401058
Имя: Ждан Котовский Александрович, Дата Рождения: 1989-12-08, Место рождения Сухиничи, Номер паспорта: 4401058
Имя: Юлиан Забужко Анатолиевич, Дата Рождения: 1998-08-31, Место рождения Сальск, Номер паспорта: 3307009
Имя: Прохор Семёнов Брониславович, Дата Рождения: 1987-10-03, Место рождения Томск, Номер паспорта: 5907067
Имя: Тимур Семёнов Сергеевич, Дата Рождения: 1989-01-02, Место рождения Сургут, Номер паспорта: 0600056
Имя: Родион Гаврилов Александрович, Дата Рождения: 1982-04-24, Место рождения Рыбинск, Номер паспорта: 0909067
Имя: Роман Повалий Сергеевич, Дата Рождения: 1997-09-17, Место рождения Жлобин, Номер паспорта: 2402014
Имя: Феликс Забужко Сергеевич, Дата Рождения: 1979-10-22, Место рождения Минск, Номер паспорта: 3607053
Имя: Харитон Сысоев Леонидович, Дата Рождения: 1997-09-17, Место рождения Мстиславль, Номер паспорта: 8504047
Имя: Оскар Кошелев Эдуардович, Дата Рождения: 1993-06-01, Место рождения Тихвин, Номер паспорта: 8505054
Имя: Стефан Костин Ярославович, Дата Рождения: 1995-03-03, Место рождения Москва, Номер паспорта: 1506060
Имя: Феликс Максимов Дмитриевич, Дата Рождения: 1980-03-01, Место рождения Малая Вишера, Номер паспорта: 0909067
Имя: Прохор Коровяк Григорьевич, Дата Рождения: 1989-08-31, Место рождения Лянтор, Номер паспорта: 5907067
Имя: Денис Сысоев Григорьевич, Дата Рождения: 1975-01-10, Место рождения Талдом, Номер паспорта: 0600056
Имя: Болеслав Зиновьев Петрович, Дата Рождения: 1988-09-26, Место рождения Уни, Номер паспорта: 2402014
Имя: Феликс Яковенко Юхимович, Дата Рождения: 1980-11-11, Место рождения Шемордан, Номер паспорта: 6402031
Имя: Станислав Кулибаба Петрович, Дата Рождения: 1986-07-29, Место рождения Салехард, Номер паспорта: 1401067
Имя: Спартак Макаров Сергеевич, Дата Рождения: 1997-11-12, Место рождения Старый Оскол, Номер паспорта: 0600056
Имя: Николай Соколов Львович, Дата Рождения: 1981-02-03, Место рождения Гурьев, Номер паспорта: 5902028
Имя: Юлиан Новиков Андреевич, Дата Рождения: 1980-01-12, Место рождения Радужный, Номер паспорта: 4408066
Имя: Стефан Блинов Сергеевич, Дата Рождения: 1980-05-01, Место рождения Трёхгорный, Номер паспорта: 9311044
Имя: Иосиф Карпов Петрович, Дата Рождения: 1977-02-02, Место рождения Гурьев, Номер паспорта: 1401067
Имя: Корнелий Лаврентьев Владимирович, Дата Рождения: 1986-12-19, Место рождения Караганда, Номер паспорта: 2402014
Имя: Сергей Мирный Викторович, Дата Рождения: 1981-06-04, Место рождения Можга, Номер паспорта: 1506060
Имя: Сергей Ерёменко Сергеевич, Дата Рождения: 1981-06-04, Место рождения Максатиха, Номер паспорта: 2402014
Имя: Трофим Карпов Владимирович, Дата Рождения: 1997-09-17, Место рождения Пятигорск, Номер паспорта: 7008041
Имя: Станислав Борисов Ярославович, Дата Рождения: 1996-01-24, Место рождения Снежинск, Номер паспорта: 1204011
Имя: Цицерон Горобчук Анатолиевич, Дата Рождения: 1983-06-04, Место рождения Стерлитамак, Номер паспорта: 2605030
Имя: Денис Галкин Михайлович, Дата Рождения: 1990-11-10, Место рождения Рудный, Номер паспорта: 6310002
Имя: Иннокентий Самойлов Евгеньевич, Дата Рождения: 1986-12-19, Место рождения Темрюк, Номер паспорта: 4408066
Имя: Цефас Савельев Андреевич, Дата Рождения: 1978-05-26, Место рождения Усть-Илимск, Номер паспорта: 9508060
Имя: Шарль Абрамов Михайлович, Дата Рождения: 1985-06-08, Место рождения Свислочь, Номер паспорта: 5902028
Имя: Леонард Панфилов Иванович, Дата Рождения: 1982-07-24, Место рождения Талдом, Номер паспорта: 2105065
Имя: Ефрем Самойлов Брониславович, Дата Рождения: 1989-08-25, Место рождения Актюбинск, Номер паспорта: 8504047
Имя: Геннадий Белов Валериевич, Дата Рождения: 1990-03-13, Место рождения Октябрьский, Номер паспорта: 7008041
Имя: Цефас Меркушев Юхимович, Дата Рождения: 1978-05-26, Место рождения Тамбов, Номер паспорта: 9105045
Имя: Жигер Соколов Максимович, Дата Рождения: 1992-03-07, Место рождения Шахты, Номер паспорта: 2605030
Имя: Иосиф Соколов Брониславович, Дата Рождения: 1989-08-31, Место рождения Стерлитамак, Номер паспорта: 9105045
Имя: Ленар Субботин Петрович, Дата Рождения: 1991-10-09, Место рождения Сарапул, Номер паспорта: 6310002
Имя: Юлий Петров Богданович, Дата Рождения: 1998-03-26, Место рождения Пермь, Номер паспорта: 6801038
Имя: Ждан Мухин Брониславович, Дата Рождения: 1975-11-12, Место рождения Нальчик, Номер паспорта: 4305015
Имя: Болеслав Савельев Васильевич, Дата Рождения: 1979-06-21, Место рождения Советская Гавань, Номер паспорта: 9105045
Имя: Болеслав Забужко Сергеевич, Дата Рождения: 1980-01-12, Место рождения Тында, Номер паспорта: 6801038
Имя: Николай Лановой Максимович, Дата Рождения: 1984-08-14, Место рождения Ликино-Дулёво, Номер паспорта: 3404067
Имя: Прохор Сысоев Валериевич, Дата Рождения: 1976-12-03, Место рождения Переславль-Залесский, Номер паспорта: 2811056
Имя: Устин Лаврентьев Михайлович, Дата Рождения: 1998-09-21, Место рождения Усть-Илимск, Номер паспорта: 9508060
Имя: Назар Романов Анатолиевич, Дата Рождения: 1980-11-11, Место рождения Гродно, Номер паспорта: 5907067
Имя: Назар Самойлов Виталиевич, Дата Рождения: 1991-02-08, Место рождения Сарапул, Номер паспорта: 3404067
Имя: Леонид Саксаганский Сергеевич, Дата Рождения: 1981-01-30, Место рождения Прокопьевск, Номер паспорта: 9005020
Имя: Харитон Котовский Михайлович, Дата Рождения: 1989-01-02, Место рождения Тихвин, Номер паспорта: 4702003
Имя: Юлиан Коровяк Леонидович, Дата Рождения: 1978-05-26, Место рождения Уфа, Номер паспорта: 6310002
Имя: Филипп Хижняк Алексеевич, Дата Рождения: 1991-10-09, Место рождения Тюмень, Номер паспорта: 9311044
Имя: Марк Коцюбинский Максимович, Дата Рождения: 1989-01-02, Место рождения Салехард, Номер паспорта: 4401058
Имя: Филипп Смирнов Петрович, Дата Рождения: 1987-07-23, Место рождения Атбасар, Номер паспорта: 2811056
Имя: Эрик Брагин Васильевич, Дата Рождения: 1980-03-01, Место рождения Урай, Номер паспорта: 6402031
Имя: Глеб Кириленко Михайлович, Дата Рождения: 1989-01-02, Место рождения Брагин, Номер паспорта: 5606049
Имя: Лука Савельев Ярославович, Дата Рождения: 1998-08-31, Место рождения Ухта, Номер паспорта: 2402014
Имя: Зуфар Самойлов Сергеевич, Дата Рождения: 1989-08-31, Место рождения Псков, Номер паспорта: 9508060
Имя: Геннадий Лихачёв Данилович, Дата Рождения: 1982-12-22, Место рождения Назрань, Номер паспорта: 3404067
Имя: Игнатий Зайцев Ярославович, Дата Рождения: 1983-06-13, Место рождения Рязань, Номер паспорта: 1204011
Имя: Тимофей Хижняк Анатолиевич, Дата Рождения: 1988-09-26, Место рождения Мурманск, Номер паспорта: 5902028
Имя: Цицерон Потапов Евгеньевич, Дата Рождения: 1989-12-08, Место рождения Сметаничи, Номер паспорта: 2402014
Имя: Милан Панфилов Александрович, Дата Рождения: 1986-12-24, Место рождения Приозерск, Номер паспорта: 1401067
Имя: Остап Карпенко-Карый Брониславович, Дата Рождения: 1988-12-30, Место рождения Уссурийск, Номер паспорта: 2605030
Имя: Спартак Блинов Григорьевич, Дата Рождения: 1996-07-10, Место рождения Тында, Номер паспорта: 8505054
Имя: Алексей Легойда Петрович, Дата Рождения: 1991-12-19, Место рождения Смоленск, Номер паспорта: 7008041
Имя: Ждан Киселёв Васильевич, Дата Рождения: 1975-11-12, Место рождения Слоним, Номер паспорта: 4401058
Имя: Болеслав Забужко Вадимович, Дата Рождения: 1976-09-11, Место рождения Хабаровск, Номер паспорта: 2605030
Имя: Назар Дмитриев Юхимович, Дата Рождения: 1998-08-31, Место рождения Михайловка, Номер паспорта: 2402014
Имя: Спартак Фокин Романович, Дата Рождения: 1995-05-13, Место рождения Россошь, Номер паспорта: 8504047
Имя: Цицерон Пилипейко Михайлович, Дата Рождения: 1983-06-04, Место рождения Череповец, Номер паспорта: 5606049
Имя: Лука Забужко Данилович, Дата Рождения: 1995-05-13, Место рождения Озёрск, Номер паспорта: 4702003
Имя: Николай Зайцев Васильевич, Дата Рождения: 1991-02-08, Место рождения Усолье-Сибирское, Номер паспорта: 4203049
Имя: Марк Козлов Иванович, Дата Рождения: 1983-05-11, Место рождения Тотьма, Номер паспорта: 2811056
Имя: Ленар Мирный Михайлович, Дата Рождения: 1997-06-04, Место рождения Саранск, Номер паспорта: 2605030
Имя: Остап Лапин Александрович, Дата Рождения: 1995-08-08, Место рождения Тбилисская, Номер паспорта: 3404067
Имя: Цицерон Денисов Романович, Дата Рождения: 1988-09-26, Место рождения Переславль-Залесский, Номер паспорта: 4408066
Имя: Прохор Яковенко Алексеевич, Дата Рождения: 1985-12-21, Место рождения Пятигорск, Номер паспорта: 0909067
Имя: Роман Волков Михайлович, Дата Рождения: 1987-12-11, Место рождения Магнитогорск, Номер паспорта: 4203049
Имя: Филипп Дроздов Брониславович, Дата Рождения: 1976-09-11, Место рождения Сухиничи, Номер паспорта: 8504047
Имя: Цицерон Самойлов Анатолиевич, Дата Рождения: 1995-03-03, Место рождения Мозырь, Номер паспорта: 0600056
Имя: Эдуард Повалий Петрович, Дата Рождения: 1975-11-12, Место рождения Родники, Номер паспорта: 4408066
Имя: Стефан Панфилов Брониславович, Дата Рождения: 1991-02-08, Место рождения Брагин, Номер паспорта: 5907067
Имя: Сава Блинов Львович, Дата Рождения: 1991-12-19, Место рождения Островной, Номер паспорта: 1401067
Имя: Игнатий Дроздов Виталиевич, Дата Рождения: 1978-05-26, Место рождения Чусовой, Номер паспорта: 5606049
Имя: Ефрем Кузнецов Александрович, Дата Рождения: 1986-12-19, Место рождения Витебск, Номер паспорта: 4408066
Имя: Прохор Лаврентьев Иванович, Дата Рождения: 1995-08-08, Место рождения Усинск, Номер паспорта: 4604015
Имя: Назар Кошелев Алексеевич, Дата Рождения: 1978-05-18, Место рождения Минск, Номер паспорта: 4702003
Имя: Болеслав Фокин Валериевич, Дата Рождения: 1981-01-08, Место рождения Таганрог, Номер паспорта: 9311044
Имя: Болеслав Горшков Иванович, Дата Рождения: 1993-06-01, Место рождения Хабаровск, Номер паспорта: 4702003
Имя: Георгий Яковенко Леонидович, Дата Рождения: 1982-12-22, Место рождения Мичуринск, Номер паспорта: 6801038
Имя: Устин Жуков Петрович, Дата Рождения: 1995-06-06, Место рождения Набережные Челны, Номер паспорта: 1204011
Имя: Болеслав Потапов Владимирович, Дата Рождения: 1988-08-26, Место рождения Малая Вишера, Номер паспорта: 6402031
Имя: Цефас Пасичник Алексеевич, Дата Рождения: 1983-05-11, Место рождения Петрозаводск, Номер паспорта: 1506060
Имя: Спартак Галкин Дмитриевич, Дата Рождения: 1985-12-20, Место рождения Соликамск, Номер паспорта: 9508060
Имя: Святослав Беляев Юхимович, Дата Рождения: 1976-12-03, Место рождения Советск, Номер паспорта: 4203049
Имя: Святослав Петров Викторович, Дата Рождения: 1977-10-25, Место рождения Гомель, Номер паспорта: 9311044
Имя: Глеб Трясило Платонович, Дата Рождения: 1990-11-10, Место рождения Урай, Номер паспорта: 3404067
Имя: Феликс Коровяк Анатолиевич, Дата Рождения: 1988-09-26, Место рождения Майкоп, Номер паспорта: 0600056
Имя: Гавриил Лаврентьев Львович, Дата Рождения: 1984-08-14, Место рождения Тула, Номер паспорта: 6402031
Имя: Лука Буров Львович, Дата Рождения: 1980-11-11, Место рождения Караганда, Номер паспорта: 4401058
Имя: Корнелий Савельев Артёмович, Дата Рождения: 1995-03-03, Место рождения Лисаковск, Номер паспорта: 6801038
Имя: Филипп Самойлов Сергеевич, Дата Рождения: 1989-10-04, Место рождения Темрюк, Номер паспорта: 0600056
Имя: Эдуард Петров Платонович, Дата Рождения: 1991-12-19, Место рождения Старый Оскол, Номер паспорта: 2105065
Имя: Гавриил Толочко Васильевич, Дата Рождения: 1997-12-30, Место рождения Переславль-Залесский, Номер паспорта: 1506060
Имя: Назар Зайцев Васильевич, Дата Рождения: 1987-12-11, Место рождения Назарово, Номер паспорта: 2605030
Имя: Ждан Лановой Андреевич, Дата Рождения: 1990-11-10, Место рождения Мосолово, Номер паспорта: 3307009
Имя: Сава Белов Васильевич, Дата Рождения: 1981-02-03, Место рождения Саранск, Номер паспорта: 9005020
Имя: Жерар Игнатов Вадимович, Дата Рождения: 1991-07-20, Место рождения Приозерск, Номер паспорта: 5900029
Имя: Герасим Блинов Данилович, Дата Рождения: 1991-02-08, Место рождения Усолье-Сибирское, Номер паспорта: 2811056
Имя: Ефрем Уваров Леонидович, Дата Рождения: 1996-01-24, Место рождения Джезказган, Номер паспорта: 2105065
Имя: Пётр Горобчук Леонидович, Дата Рождения: 1992-03-07, Место рождения Павловский Посад, Номер паспорта: 1401067
Имя: Феликс Панфилов Сергеевич, Дата Рождения: 1980-05-01, Место рождения Астана, Номер паспорта: 5902028
Имя: Святослав Сысоев Артёмович, Дата Рождения: 1987-12-11, Место рождения Лиски, Номер паспорта: 9005020
Имя: Гавриил Коровяк Юхимович, Дата Рождения: 1975-01-10, Место рождения Мурманск, Номер паспорта: 8504047
Имя: Валентин Савельев Владимирович, Дата Рождения: 1993-06-01, Место рождения Гурьев, Номер паспорта: 2811056
Имя: Глеб Моисеенко Алексеевич, Дата Рождения: 1998-08-31, Место рождения Старый Оскол, Номер паспорта: 1506060
Имя: Марк Коровяк Викторович, Дата Рождения: 1975-11-12, Место рождения Тотьма, Номер паспорта: 4401058
Имя: Денис Игнатов Петрович, Дата Рождения: 1996-01-24, Место рождения Советская Гавань, Номер паспорта: 5902028
Имя: Вадим Рымар Юхимович, Дата Рождения: 1996-11-13, Место рождения Тольятти, Номер паспорта: 5900029
Имя: Филипп Горобчук Алексеевич, Дата Рождения: 1992-01-20, Место рождения Кзыл-Орда, Номер паспорта: 4305015
Имя: Жигер Дроздов Викторович, Дата Рождения: 1976-12-03, Место рождения Магадан, Номер паспорта: 6801038
Имя: Филипп Кошелев Артёмович, Дата Рождения: 1996-01-24, Место рождения Шатура, Номер паспорта: 9105045
Имя: Пётр Мухин Дмитриевич, Дата Рождения: 1982-12-22, Место рождения Брагин, Номер паспорта: 1506060
Имя: Родион Костин Михайлович, Дата Рождения: 1981-01-30, Место рождения Советск, Номер паспорта: 4408066
Имя: Цефас Горобчук Владимирович, Дата Рождения: 1992-03-07, Место рождения Риддер, Номер паспорта: 0600056
Имя: Спартак Лаврентьев Сергеевич, Дата Рождения: 1977-10-25, Место рождения Мядель, Номер паспорта: 3607053
Имя: Трофим Яворивский Михайлович, Дата Рождения: 1977-10-25, Место рождения Таганрог, Номер паспорта: 9508060
Имя: Филипп Панфилов Брониславович, Дата Рождения: 1989-01-02, Место рождения Усинск, Номер паспорта: 8504047
